Classpath;Classname;Count
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.io.ExtendedFile;1
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.io.FileInputStreamReader;0
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.jmx.AgentFinder;1
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.jmx.Unit;1
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.log.LogWatch;1
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.spi.CsvXPorterProvider;1
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.spi.FileXPorterProvider;1
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.spi.XPorter;1
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.util.ArchivEntry;0
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.util.ClasspathHelper;0
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.util.Converter;1
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.util.Environment;0
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.util.ObjectComparator;0
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.util.ReflectionHelper;0
file:/Users/oboehm/work/github/en/ClazzFish/monitor/target/classes/;clazzfish.monitor.util.StackTraceScanner;0
file:/Users/oboehm/work/github/en/ClazzFish/sample/target/classes/;clazzfish.sample.Bank;1
file:/Users/oboehm/work/github/en/ClazzFish/sample/target/classes/;clazzfish.sample.DeadClass;0
file:/Users/oboehm/work/github/en/ClazzFish/sample/target/classes/;clazzfish.sample.jdbc.Account;1
file:/Users/oboehm/work/github/en/ClazzFish/sample/target/classes/;clazzfish.sample.jdbc.BankRepository;1
file:/Users/oboehm/work/github/en/ClazzFish/sample/target/classes/;clazzfish.sample.jdbc.User;1
file:/Users/oboehm/work/github/en/ClazzFish/sample/target/classes/;clazzfish.sample.spi.CsvPrintProvider;1
